captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-07T16:36:11.532Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-08T18:15:58.388Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:00:46.165Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:00:46.165Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:00:46.165Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:00:46.165Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:00:46.165Z,0,0.0,278,0.0,10842,0,0.0,10843,0,0.0,454872,99,0,691079,0,0
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:37:01.257Z,0,40.36,278,0.0,10843,120175,65.46,10842,63418,34.54,454872,99,183593,691079,0,112
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:44:57.687Z,0,40.36,278,0.0,10843,120175,65.46,10842,63418,34.54,454872,99,183593,691079,0,112
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AZ,4019,2,2022-11-09T02:00:00.000Z,FIPSCode,04019,0,2022-11-09T03:44:57.687Z,0,40.36,278,0.0,10843,120175,65.46,10842,63418,34.54,454872,99,183593,691079,0,112
