captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-07T21:17:35.013Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-08T18:33:21.201Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667947695,2022-11-08 22:48:15 +0000,d34bad58f4d41f9cfcdcd94796fa010d33630ef0,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-08T22:44:27.054Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667947961,2022-11-08 22:52:41 +0000,61cf3818eb7b56b77db7de41bfdda7ab59f4de65,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-08T22:47:01.235Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667948224,2022-11-08 22:57:04 +0000,5811cb367141367f8bc77ffdad931a3c41c67ea4,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-08T22:52:43.056Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:14:30.858Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:14:30.858Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:14:30.858Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:14:30.858Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:14:30.858Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:14:30.858Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:45:26.221Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:45:26.221Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,NH,33009,2,2022-11-09T00:00:00.000Z,FIPSCode,33009,0,2022-11-09T00:53:05.043Z,0,0.0,41,0.0,46562,0,0.0,49921,0,0.0,50883,0,0.0,50884,0,0.0,42624,99,0,60343,0,0
