captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY,36117,2,2022-11-09T01:00:00.000Z,FIPSCode,36117,0,2022-11-07T17:11:52.655Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T19:53:05.973Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667946645,2022-11-08 22:30:45 +0000,b4a2d52dc2885174b04713e13bf7fbb8eadd5f83,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667947162,2022-11-08 22:39:22 +0000,f4d4d4ee9c0c708eecc555d85fad1ae05b59ac98,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-08T22:27:13.679Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T03:29:54.532Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T03:29:54.532Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T03:29:54.532Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T03:29:54.532Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T03:29:54.532Z,0,0.0,54,0.0,87227,0,0.0,87228,0,0.0,33411,99,0,60403,0,0
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968227,2022-11-08 22:30:27 -0600,b78ec951061d2bf917e09f1eb01cb079af5e3a88,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968316,2022-11-08 22:31:56 -0600,c7364a5d7197a125b098705a317e32ff0afe0f57,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:09:35.543Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:32:57.691Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968709,2022-11-08 22:38:29 -0600,a479186c1a21e09ae947de1863bf72d461e8b879,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:32:57.691Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968757,2022-11-08 22:39:17 -0600,444e7baf756125a86bedac9f7455307c41fed63a,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:32:57.691Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667968931,2022-11-08 22:42:11 -0600,cca40a484cb23456c0df129e9bd1750068cb4880,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:32:57.691Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:32:57.691Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,NY,36117,2,2022-11-09T02:00:00.000Z,FIPSCode,36117,0,2022-11-09T04:32:57.691Z,20,36.76,54,0.0,87228,6500,52.92,87227,5782,47.08,33411,99,12282,60403,0,20
