captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-07T21:17:33.844Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-08T19:51:14.458Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667946382,2022-11-08 22:26:22 +0000,73f2c650f342d3057cfca8879805e19e5c627823,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-08T22:20:45.495Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-08T22:20:45.495Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-09T01:27:29.931Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-09T01:27:29.931Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-09T01:27:29.931Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-09T01:27:29.931Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-09T02:09:48.047Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MD,24045,2,2022-11-09T01:00:00.000Z,FIPSCode,24045,0,2022-11-09T02:10:47.900Z,0,0.0,63,0.0,32727,0,0.0,32726,0,0.0,35873,99,0,70403,0,0
