captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,electTotal,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-08T05:37:48.844Z,0,0.0,124,0.0,32624,0,0.0,35469,0,0.0,168139,95,0,268852,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-08T19:42:24.303Z,0,0.0,124,0.0,32624,0,0.0,35469,0,0.0,170512,95,0,268852,0,0
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T01:19:07.245Z,4,0.46,124,3.23,32624,487,61.96,35469,299,38.04,170512,95,786,268852,4,1
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T01:19:07.245Z,4,0.46,124,3.23,32624,487,61.96,35469,299,38.04,170512,95,786,268852,4,1
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T01:54:38.604Z,10,9.18,124,8.06,32624,12045,76.91,35469,3616,23.09,170512,95,15661,268852,10,13
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T01:54:38.604Z,10,9.18,124,8.06,32624,12045,76.91,35469,3616,23.09,170512,95,15661,268852,10,13
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:16:29.865Z,31,16.23,124,25.0,32624,19640,70.95,35469,8042,29.05,170512,95,27682,268852,31,23
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T02:18:32.901Z,31,17.11,124,25.0,32624,19640,70.95,35469,8042,29.05,161806,95,27682,268852,31,29
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T03:20:14.833Z,38,23.77,124,30.65,32624,27389,71.2,35469,11077,28.8,161806,95,38466,268852,38,35
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MA,25021,2,2022-11-09T01:00:00.000Z,FIPSCode,25021,0,2022-11-09T03:26:08.171Z,38,24.1,124,30.65,32624,27389,71.2,35469,11077,28.8,159602,95,38466,268852,38,36
